,Constituency,Name,Party,Picture
294,20,Ms. Aliya Hamza Malik,PTI,Profile
295,21,Ms. Javaria Zafar Aheer,PTI,Profile
296,22,Ms. Kanwal Shauzab,PTI,Profile
297,23,Dr. Seemi Bukhari,PTI,Profile
298,24,Ms. Sobia Kamal Khan,PTI,Profile
299,25,Dr. Nausheen Hamid,PTI,Profile
300,26,Ms. Rubina Jamil,PTI,Profile
301,27,Ms. Maleeka Ali Bokhari,PTI,Profile
302,28,Ms. Fauzia Behram,PTI,Profile
303,29,Ms. Rukhsana Naveed,PTI,Profile
304,30,Ms. Tashfeen Safdar,PTI,Profile
305,31,Ms. Wajiha Qamar,PTI,Profile
306,32,Ms. Hina Rabbani Khar,PPPP,Profile
307,33,Ms. Farukh Khan,PML,Profile
308,34,Ms. Shakila Luqman,PML-N,Profile
309,35,Ms. Asiya Azeem,PTI,Profile
310,Sindh (14),Sindh (14),Sindh (14),Sindh (14)
311,1,Ms. Shagufta Jumani,PPPP,Profile
312,2,Ms. Nasiba Channa,PPPP,Profile
313,3,Ms. Mussarat Rafique Mahesar,PPPP,Profile
314,4,Ms. Naz Baloch,PPPP,Profile
315,5,Ms. Shahida Rehmani,PPPP,Profile
316,6,Dr. Mahreen Razzaq Bhutto,PPPP,Profile
317,7,Dr. Shazia Sobia Aslam Soomro,PPPP,Profile
318,8,Ms. Shamim Ara Panhwar,PPPP,Profile
319,9,Ms. Syma Nadeem,PTI,Profile
320,10,Ms. Ghazala Saifi,PTI,Profile
321,11,Ms. Nuzhat Pathan,PTI,Profile
322,12,Ms. Nusrat Wahid,PTI,Profile
323,13,Ms. Kishwar Zehra,MQMP,Profile
324,14,Ms. Saira Bano,GDA,Profile
325,Balochistan (4),Balochistan (4),Balochistan (4),Balochistan (4)
326,1,Ms. Aliya Kamran,MMAP,Profile
327,2,Ms. Rubina Irfan,BAP,Profile
328,3,Prof. Dr. Shahnaz Baloch,BNP,Profile
329,4,Ms. Munawara Bibi Baloch,PTI,Profile
330,RESERVED SEATS FOR NON-MUSLIM (10),RESERVED SEATS FOR NON-MUSLIM (10),RESERVED SEATS FOR NON-MUSLIM (10),RESERVED SEATS FOR NON-MUSLIM (10)
331,#,Name,Party,Picture
332,1,Mr. Lal Chand,PTI,Profile
333,2,Ms. Shunila Ruth,PTI,Profile
334,3,Mr. Ramesh Kumar Vankwani,PTI,Profile
335,4,Mr. Jai Parkash,PTI,Profile
336,5,Mr. Jamshed Thomas,PTI,Profile
337,6,Dr. Darshan,PML-N,Profile
338,7,Mr. Kesoo Mal Kheeal Das,PML-N,Profile
339,8,Mr. Ramesh Lal,PPPP,Profile
340,9,Mr. Naveed Aamir Jeeva,PPPP,Profile
341,10,Mr. James Iqbal,MMAP,Profile
